Date,Crop,Market,Price,Unit
2024-03-26,Maize,Owino,1259,kg
2024-03-27,Maize,Owino,1367,kg
2024-03-28,Maize,Owino,1339,kg
2024-03-29,Maize,Owino,1311,kg
2024-03-30,Maize,Owino,1268,kg
2024-03-31,Maize,Owino,1320,kg
2024-04-01,Maize,Owino,1322,kg
2024-04-02,Maize,Owino,1348,kg
2024-04-03,Maize,Owino,1307,kg
2024-04-04,Maize,Owino,1335,kg
2024-04-05,Maize,Owino,1297,kg
2024-04-06,Maize,Owino,1330,kg
2024-04-07,Maize,Owino,1326,kg
2024-04-08,Maize,Owino,1362,kg
2024-04-09,Maize,Owino,1377,kg
2024-04-10,Maize,Owino,1340,kg
2024-04-11,Maize,Owino,1294,kg
2024-04-12,Maize,Owino,1289,kg
2024-04-13,Maize,Owino,1397,kg
2024-04-14,Maize,Owino,1295,kg
2024-04-15,Maize,Owino,1342,kg
2024-04-16,Maize,Owino,1300,kg
2024-04-17,Maize,Owino,1279,kg
2024-04-18,Maize,Owino,1343,kg
2024-04-19,Maize,Owino,1363,kg
2024-04-20,Maize,Owino,1262,kg
2024-04-21,Maize,Owino,1354,kg
2024-04-22,Maize,Owino,1342,kg
2024-04-23,Maize,Owino,1354,kg
2024-04-24,Maize,Owino,1385,kg
2024-04-25,Maize,Owino,1359,kg
2024-04-26,Maize,Owino,1358,kg
2024-04-27,Maize,Owino,1253,kg
2024-04-28,Maize,Owino,1334,kg
2024-04-29,Maize,Owino,1302,kg
2024-04-30,Maize,Owino,1305,kg
2024-05-01,Maize,Owino,1320,kg
2024-05-02,Maize,Owino,1399,kg
2024-05-03,Maize,Owino,1298,kg
2024-05-04,Maize,Owino,1315,kg
2024-05-05,Maize,Owino,1293,kg
2024-05-06,Maize,Owino,1295,kg
2024-05-07,Maize,Owino,1284,kg
2024-05-08,Maize,Owino,1294,kg
2024-05-09,Maize,Owino,1316,kg
2024-05-10,Maize,Owino,1441,kg
2024-05-11,Maize,Owino,1280,kg
2024-05-12,Maize,Owino,1256,kg
2024-05-13,Maize,Owino,1355,kg
2024-05-14,Maize,Owino,1442,kg
2024-05-15,Maize,Owino,1410,kg
2024-05-16,Maize,Owino,1325,kg
2024-05-17,Maize,Owino,1280,kg
2024-05-18,Maize,Owino,1337,kg
2024-05-19,Maize,Owino,1318,kg
2024-05-20,Maize,Owino,1353,kg
2024-05-21,Maize,Owino,1346,kg
2024-05-22,Maize,Owino,1326,kg
2024-05-23,Maize,Owino,1358,kg
2024-05-24,Maize,Owino,1288,kg
2024-05-25,Maize,Owino,1290,kg
2024-05-26,Maize,Owino,1349,kg
2024-05-27,Maize,Owino,1326,kg
2024-05-28,Maize,Owino,1220,kg
2024-05-29,Maize,Owino,1326,kg
2024-05-30,Maize,Owino,1276,kg
2024-05-31,Maize,Owino,1265,kg
2024-06-01,Maize,Owino,1341,kg
2024-06-02,Maize,Owino,1200,kg
2024-06-03,Maize,Owino,1296,kg
2024-06-04,Maize,Owino,1305,kg
2024-06-05,Maize,Owino,1271,kg
2024-06-06,Maize,Owino,1236,kg
2024-06-07,Maize,Owino,1312,kg
2024-06-08,Maize,Owino,1286,kg
2024-06-09,Maize,Owino,1234,kg
2024-06-10,Maize,Owino,1205,kg
2024-06-11,Maize,Owino,1243,kg
2024-06-12,Maize,Owino,1308,kg
2024-06-13,Maize,Owino,1265,kg
2024-06-14,Maize,Owino,1153,kg
2024-06-15,Maize,Owino,1271,kg
2024-06-16,Maize,Owino,1189,kg
2024-06-17,Maize,Owino,1275,kg
2024-06-18,Maize,Owino,1242,kg
2024-06-19,Maize,Owino,1194,kg
2024-06-20,Maize,Owino,1201,kg
2024-06-21,Maize,Owino,1282,kg
2024-06-22,Maize,Owino,1216,kg
2024-06-23,Maize,Owino,1136,kg
2024-06-24,Maize,Owino,1213,kg
2024-06-25,Maize,Owino,1272,kg
2024-06-26,Maize,Owino,1155,kg
2024-06-27,Maize,Owino,1161,kg
2024-06-28,Maize,Owino,1232,kg
2024-06-29,Maize,Owino,1182,kg
2024-06-30,Maize,Owino,1194,kg
2024-07-01,Maize,Owino,1190,kg
2024-07-02,Maize,Owino,1178,kg
2024-07-03,Maize,Owino,1168,kg
2024-07-04,Maize,Owino,1215,kg
2024-07-05,Maize,Owino,1146,kg
2024-07-06,Maize,Owino,1152,kg
2024-07-07,Maize,Owino,1171,kg
2024-07-08,Maize,Owino,1126,kg
2024-07-09,Maize,Owino,1137,kg
2024-07-10,Maize,Owino,1152,kg
2024-07-11,Maize,Owino,1155,kg
2024-07-12,Maize,Owino,1149,kg
2024-07-13,Maize,Owino,1162,kg
2024-07-14,Maize,Owino,1086,kg
2024-07-15,Maize,Owino,1144,kg
2024-07-16,Maize,Owino,1121,kg
2024-07-17,Maize,Owino,1156,kg
2024-07-18,Maize,Owino,1135,kg
2024-07-19,Maize,Owino,1172,kg
2024-07-20,Maize,Owino,1098,kg
2024-07-21,Maize,Owino,1191,kg
2024-07-22,Maize,Owino,1118,kg
2024-07-23,Maize,Owino,1132,kg
2024-07-24,Maize,Owino,1061,kg
2024-07-25,Maize,Owino,1148,kg
2024-07-26,Maize,Owino,1147,kg
2024-07-27,Maize,Owino,1090,kg
2024-07-28,Maize,Owino,1094,kg
2024-07-29,Maize,Owino,1102,kg
2024-07-30,Maize,Owino,1155,kg
2024-07-31,Maize,Owino,1115,kg
2024-08-01,Maize,Owino,1097,kg
2024-08-02,Maize,Owino,1105,kg
2024-08-03,Maize,Owino,1107,kg
2024-08-04,Maize,Owino,1108,kg
2024-08-05,Maize,Owino,1047,kg
2024-08-06,Maize,Owino,1155,kg
2024-08-07,Maize,Owino,1074,kg
2024-08-08,Maize,Owino,1040,kg
2024-08-09,Maize,Owino,1014,kg
2024-08-10,Maize,Owino,950,kg
2024-08-11,Maize,Owino,1030,kg
2024-08-12,Maize,Owino,1067,kg
2024-08-13,Maize,Owino,1071,kg
2024-08-14,Maize,Owino,1039,kg
2024-08-15,Maize,Owino,1093,kg
2024-08-16,Maize,Owino,1055,kg
2024-08-17,Maize,Owino,1110,kg
2024-08-18,Maize,Owino,971,kg
2024-08-19,Maize,Owino,1007,kg
2024-08-20,Maize,Owino,1016,kg
2024-08-21,Maize,Owino,1016,kg
2024-08-22,Maize,Owino,1007,kg
2024-08-23,Maize,Owino,1031,kg
2024-08-24,Maize,Owino,1078,kg
2024-08-25,Maize,Owino,1024,kg
2024-08-26,Maize,Owino,1009,kg
2024-08-27,Maize,Owino,990,kg
2024-08-28,Maize,Owino,1129,kg
2024-08-29,Maize,Owino,1082,kg
2024-08-30,Maize,Owino,989,kg
2024-08-31,Maize,Owino,1011,kg
2024-09-01,Maize,Owino,1050,kg
2024-09-02,Maize,Owino,1051,kg
2024-09-03,Maize,Owino,1001,kg
2024-09-04,Maize,Owino,1061,kg
2024-09-05,Maize,Owino,1013,kg
2024-09-06,Maize,Owino,1090,kg
2024-09-07,Maize,Owino,986,kg
2024-09-08,Maize,Owino,1030,kg
2024-09-09,Maize,Owino,1029,kg
2024-09-10,Maize,Owino,1025,kg
2024-09-11,Maize,Owino,998,kg
2024-09-12,Maize,Owino,1032,kg
2024-09-13,Maize,Owino,1027,kg
2024-09-14,Maize,Owino,1056,kg
2024-09-15,Maize,Owino,1088,kg
2024-09-16,Maize,Owino,1021,kg
2024-09-17,Maize,Owino,963,kg
2024-09-18,Maize,Owino,1000,kg
2024-09-19,Maize,Owino,1023,kg
2024-09-20,Maize,Owino,976,kg
2024-09-21,Maize,Owino,1009,kg
2024-09-22,Maize,Owino,1036,kg
2024-09-23,Maize,Owino,999,kg
2024-09-24,Maize,Owino,1099,kg
2024-09-25,Maize,Owino,996,kg
2024-09-26,Maize,Owino,1044,kg
2024-09-27,Maize,Owino,963,kg
2024-09-28,Maize,Owino,1046,kg
2024-09-29,Maize,Owino,1028,kg
2024-09-30,Maize,Owino,981,kg
2024-10-01,Maize,Owino,1049,kg
2024-10-02,Maize,Owino,1076,kg
2024-10-03,Maize,Owino,1053,kg
2024-10-04,Maize,Owino,1088,kg
2024-10-05,Maize,Owino,1056,kg
2024-10-06,Maize,Owino,956,kg
2024-10-07,Maize,Owino,1043,kg
2024-10-08,Maize,Owino,1062,kg
2024-10-09,Maize,Owino,1038,kg
2024-10-10,Maize,Owino,1050,kg
2024-10-11,Maize,Owino,1126,kg
2024-10-12,Maize,Owino,1036,kg
2024-10-13,Maize,Owino,1062,kg
2024-10-14,Maize,Owino,1059,kg
2024-10-15,Maize,Owino,1018,kg
2024-10-16,Maize,Owino,1061,kg
2024-10-17,Maize,Owino,990,kg
2024-10-18,Maize,Owino,1070,kg
2024-10-19,Maize,Owino,1076,kg
2024-10-20,Maize,Owino,1084,kg
2024-10-21,Maize,Owino,1075,kg
2024-10-22,Maize,Owino,1045,kg
2024-10-23,Maize,Owino,1095,kg
2024-10-24,Maize,Owino,1044,kg
2024-10-25,Maize,Owino,1103,kg
2024-10-26,Maize,Owino,1116,kg
2024-10-27,Maize,Owino,1089,kg
2024-10-28,Maize,Owino,1057,kg
2024-10-29,Maize,Owino,1136,kg
2024-10-30,Maize,Owino,1108,kg
2024-10-31,Maize,Owino,1135,kg
2024-11-01,Maize,Owino,1063,kg
2024-11-02,Maize,Owino,1115,kg
2024-11-03,Maize,Owino,1111,kg
2024-11-04,Maize,Owino,1136,kg
2024-11-05,Maize,Owino,1063,kg
2024-11-06,Maize,Owino,1101,kg
2024-11-07,Maize,Owino,1116,kg
2024-11-08,Maize,Owino,1175,kg
2024-11-09,Maize,Owino,1166,kg
2024-11-10,Maize,Owino,1104,kg
2024-11-11,Maize,Owino,1120,kg
2024-11-12,Maize,Owino,1058,kg
2024-11-13,Maize,Owino,1139,kg
2024-11-14,Maize,Owino,1206,kg
2024-11-15,Maize,Owino,1239,kg
2024-11-16,Maize,Owino,1123,kg
2024-11-17,Maize,Owino,1115,kg
2024-11-18,Maize,Owino,1232,kg
2024-11-19,Maize,Owino,1172,kg
2024-11-20,Maize,Owino,1209,kg
2024-11-21,Maize,Owino,1222,kg
2024-11-22,Maize,Owino,1204,kg
2024-11-23,Maize,Owino,1193,kg
2024-11-24,Maize,Owino,1209,kg
2024-11-25,Maize,Owino,1242,kg
2024-11-26,Maize,Owino,1247,kg
2024-11-27,Maize,Owino,1243,kg
2024-11-28,Maize,Owino,1225,kg
2024-11-29,Maize,Owino,1228,kg
2024-11-30,Maize,Owino,1257,kg
2024-12-01,Maize,Owino,1235,kg
2024-12-02,Maize,Owino,1247,kg
2024-12-03,Maize,Owino,1187,kg
2024-12-04,Maize,Owino,1201,kg
2024-12-05,Maize,Owino,1299,kg
2024-12-06,Maize,Owino,1242,kg
2024-12-07,Maize,Owino,1251,kg
2024-12-08,Maize,Owino,1290,kg
2024-12-09,Maize,Owino,1298,kg
2024-12-10,Maize,Owino,1349,kg
2024-12-11,Maize,Owino,1217,kg
2024-12-12,Maize,Owino,1226,kg
2024-12-13,Maize,Owino,1310,kg
2024-12-14,Maize,Owino,1344,kg
2024-12-15,Maize,Owino,1372,kg
2024-12-16,Maize,Owino,1327,kg
2024-12-17,Maize,Owino,1307,kg
2024-12-18,Maize,Owino,1321,kg
2024-12-19,Maize,Owino,1304,kg
2024-12-20,Maize,Owino,1403,kg
2024-12-21,Maize,Owino,1320,kg
2024-12-22,Maize,Owino,1243,kg
2024-12-23,Maize,Owino,1289,kg
2024-12-24,Maize,Owino,1348,kg
2024-12-25,Maize,Owino,1356,kg
2024-12-26,Maize,Owino,1359,kg
2024-12-27,Maize,Owino,1262,kg
2024-12-28,Maize,Owino,1341,kg
2024-12-29,Maize,Owino,1393,kg
2024-12-30,Maize,Owino,1353,kg
2024-12-31,Maize,Owino,1398,kg
2025-01-01,Maize,Owino,1336,kg
2025-01-02,Maize,Owino,1375,kg
2025-01-03,Maize,Owino,1359,kg
2025-01-04,Maize,Owino,1374,kg
2025-01-05,Maize,Owino,1378,kg
2025-01-06,Maize,Owino,1405,kg
2025-01-07,Maize,Owino,1454,kg
2025-01-08,Maize,Owino,1468,kg
2025-01-09,Maize,Owino,1486,kg
2025-01-10,Maize,Owino,1415,kg
2025-01-11,Maize,Owino,1432,kg
2025-01-12,Maize,Owino,1413,kg
2025-01-13,Maize,Owino,1451,kg
2025-01-14,Maize,Owino,1405,kg
2025-01-15,Maize,Owino,1404,kg
2025-01-16,Maize,Owino,1449,kg
2025-01-17,Maize,Owino,1385,kg
2025-01-18,Maize,Owino,1465,kg
2025-01-19,Maize,Owino,1427,kg
2025-01-20,Maize,Owino,1384,kg
2025-01-21,Maize,Owino,1438,kg
2025-01-22,Maize,Owino,1492,kg
2025-01-23,Maize,Owino,1488,kg
2025-01-24,Maize,Owino,1453,kg
2025-01-25,Maize,Owino,1516,kg
2025-01-26,Maize,Owino,1460,kg
2025-01-27,Maize,Owino,1438,kg
2025-01-28,Maize,Owino,1413,kg
2025-01-29,Maize,Owino,1486,kg
2025-01-30,Maize,Owino,1525,kg
2025-01-31,Maize,Owino,1474,kg
2025-02-01,Maize,Owino,1485,kg
2025-02-02,Maize,Owino,1499,kg
2025-02-03,Maize,Owino,1415,kg
2025-02-04,Maize,Owino,1501,kg
2025-02-05,Maize,Owino,1472,kg
2025-02-06,Maize,Owino,1489,kg
2025-02-07,Maize,Owino,1504,kg
2025-02-08,Maize,Owino,1550,kg
2025-02-09,Maize,Owino,1466,kg
2025-02-10,Maize,Owino,1513,kg
2025-02-11,Maize,Owino,1405,kg
2025-02-12,Maize,Owino,1496,kg
2025-02-13,Maize,Owino,1477,kg
2025-02-14,Maize,Owino,1518,kg
2025-02-15,Maize,Owino,1551,kg
2025-02-16,Maize,Owino,1496,kg
2025-02-17,Maize,Owino,1541,kg
2025-02-18,Maize,Owino,1461,kg
2025-02-19,Maize,Owino,1549,kg
2025-02-20,Maize,Owino,1599,kg
2025-02-21,Maize,Owino,1500,kg
2025-02-22,Maize,Owino,1405,kg
2025-02-23,Maize,Owino,1424,kg
2025-02-24,Maize,Owino,1430,kg
2025-02-25,Maize,Owino,1410,kg
2025-02-26,Maize,Owino,1438,kg
2025-02-27,Maize,Owino,1504,kg
2025-02-28,Maize,Owino,1561,kg
2025-03-01,Maize,Owino,1559,kg
2025-03-02,Maize,Owino,1497,kg
2025-03-03,Maize,Owino,1510,kg
2025-03-04,Maize,Owino,1573,kg
2025-03-05,Maize,Owino,1560,kg
2025-03-06,Maize,Owino,1462,kg
2025-03-07,Maize,Owino,1564,kg
2025-03-08,Maize,Owino,1561,kg
2025-03-09,Maize,Owino,1529,kg
2025-03-10,Maize,Owino,1480,kg
2025-03-11,Maize,Owino,1523,kg
2025-03-12,Maize,Owino,1494,kg
2025-03-13,Maize,Owino,1529,kg
2025-03-14,Maize,Owino,1427,kg
2025-03-15,Maize,Owino,1476,kg
2025-03-16,Maize,Owino,1476,kg
2025-03-17,Maize,Owino,1494,kg
2025-03-18,Maize,Owino,1496,kg
2025-03-19,Maize,Owino,1494,kg
2025-03-20,Maize,Owino,1402,kg
2025-03-21,Maize,Owino,1459,kg
2025-03-22,Maize,Owino,1486,kg
2025-03-23,Maize,Owino,1455,kg
2025-03-24,Maize,Owino,1450,kg
2025-03-25,Maize,Owino,1487,kg
2025-03-26,Maize,Owino,1556,kg
2025-03-27,Maize,Owino,1419,kg
2025-03-28,Maize,Owino,1443,kg
2025-03-29,Maize,Owino,1481,kg
2025-03-30,Maize,Owino,1395,kg
2025-03-31,Maize,Owino,1485,kg
2025-04-01,Maize,Owino,1405,kg
2025-04-02,Maize,Owino,1455,kg
2025-04-03,Maize,Owino,1464,kg
2025-04-04,Maize,Owino,1418,kg
2025-04-05,Maize,Owino,1521,kg
2025-04-06,Maize,Owino,1391,kg
2025-04-07,Maize,Owino,1435,kg
2025-04-08,Maize,Owino,1461,kg
2025-04-09,Maize,Owino,1439,kg
2025-04-10,Maize,Owino,1443,kg
2025-04-11,Maize,Owino,1368,kg
2025-04-12,Maize,Owino,1495,kg
2025-04-13,Maize,Owino,1458,kg
2025-04-14,Maize,Owino,1444,kg
2025-04-15,Maize,Owino,1390,kg
2025-04-16,Maize,Owino,1433,kg
2025-04-17,Maize,Owino,1436,kg
2025-04-18,Maize,Owino,1468,kg
2025-04-19,Maize,Owino,1446,kg
2025-04-20,Maize,Owino,1361,kg
2025-04-21,Maize,Owino,1474,kg
2025-04-22,Maize,Owino,1411,kg
2025-04-23,Maize,Owino,1354,kg
2025-04-24,Maize,Owino,1448,kg
2025-04-25,Maize,Owino,1395,kg
2025-04-26,Maize,Owino,1393,kg
2025-04-27,Maize,Owino,1386,kg
2025-04-28,Maize,Owino,1319,kg
2025-04-29,Maize,Owino,1396,kg
2025-04-30,Maize,Owino,1439,kg
2025-05-01,Maize,Owino,1457,kg
2025-05-02,Maize,Owino,1353,kg
2025-05-03,Maize,Owino,1340,kg
2025-05-04,Maize,Owino,1320,kg
2025-05-05,Maize,Owino,1307,kg
2025-05-06,Maize,Owino,1363,kg
2025-05-07,Maize,Owino,1354,kg
2025-05-08,Maize,Owino,1370,kg
2025-05-09,Maize,Owino,1426,kg
2025-05-10,Maize,Owino,1307,kg
2025-05-11,Maize,Owino,1362,kg
2025-05-12,Maize,Owino,1382,kg
2025-05-13,Maize,Owino,1390,kg
2025-05-14,Maize,Owino,1317,kg
2025-05-15,Maize,Owino,1331,kg
2025-05-16,Maize,Owino,1357,kg
2025-05-17,Maize,Owino,1354,kg
2025-05-18,Maize,Owino,1359,kg
2025-05-19,Maize,Owino,1388,kg
2025-05-20,Maize,Owino,1290,kg
2025-05-21,Maize,Owino,1283,kg
2025-05-22,Maize,Owino,1306,kg
2025-05-23,Maize,Owino,1327,kg
2025-05-24,Maize,Owino,1369,kg
2025-05-25,Maize,Owino,1296,kg
2025-05-26,Maize,Owino,1313,kg
2025-05-27,Maize,Owino,1283,kg
2025-05-28,Maize,Owino,1313,kg
2025-05-29,Maize,Owino,1377,kg
2025-05-30,Maize,Owino,1249,kg
2025-05-31,Maize,Owino,1181,kg
2025-06-01,Maize,Owino,1286,kg
2025-06-02,Maize,Owino,1296,kg
2025-06-03,Maize,Owino,1301,kg
2025-06-04,Maize,Owino,1302,kg
2025-06-05,Maize,Owino,1265,kg
2025-06-06,Maize,Owino,1281,kg
2025-06-07,Maize,Owino,1232,kg
2025-06-08,Maize,Owino,1272,kg
2025-06-09,Maize,Owino,1245,kg
2025-06-10,Maize,Owino,1292,kg
2025-06-11,Maize,Owino,1266,kg
2025-06-12,Maize,Owino,1217,kg
2025-06-13,Maize,Owino,1194,kg
2025-06-14,Maize,Owino,1202,kg
2025-06-15,Maize,Owino,1233,kg
2025-06-16,Maize,Owino,1253,kg
2025-06-17,Maize,Owino,1213,kg
2025-06-18,Maize,Owino,1290,kg
2025-06-19,Maize,Owino,1217,kg
2025-06-20,Maize,Owino,1184,kg
2025-06-21,Maize,Owino,1247,kg
2025-06-22,Maize,Owino,1231,kg
2025-06-23,Maize,Owino,1179,kg
2025-06-24,Maize,Owino,1220,kg
2025-06-25,Maize,Owino,1299,kg
2025-06-26,Maize,Owino,1140,kg
2025-06-27,Maize,Owino,1232,kg
2025-06-28,Maize,Owino,1157,kg
2025-06-29,Maize,Owino,1151,kg
2025-06-30,Maize,Owino,1270,kg
2025-07-01,Maize,Owino,1208,kg
2025-07-02,Maize,Owino,1185,kg
2025-07-03,Maize,Owino,1176,kg
2025-07-04,Maize,Owino,1222,kg
2025-07-05,Maize,Owino,1245,kg
2025-07-06,Maize,Owino,1179,kg
2025-07-07,Maize,Owino,1141,kg
2025-07-08,Maize,Owino,1227,kg
2025-07-09,Maize,Owino,1174,kg
2025-07-10,Maize,Owino,1161,kg
2025-07-11,Maize,Owino,1180,kg
2025-07-12,Maize,Owino,1182,kg
2025-07-13,Maize,Owino,1189,kg
2025-07-14,Maize,Owino,1137,kg
2025-07-15,Maize,Owino,1146,kg
2025-07-16,Maize,Owino,1201,kg
2025-07-17,Maize,Owino,1144,kg
2025-07-18,Maize,Owino,1180,kg
2025-07-19,Maize,Owino,1199,kg
2025-07-20,Maize,Owino,1184,kg
2025-07-21,Maize,Owino,1222,kg
2025-07-22,Maize,Owino,1205,kg
2025-07-23,Maize,Owino,1183,kg
2025-07-24,Maize,Owino,1144,kg
2025-07-25,Maize,Owino,1236,kg
2025-07-26,Maize,Owino,1160,kg
2025-07-27,Maize,Owino,1165,kg
2025-07-28,Maize,Owino,1142,kg
2025-07-29,Maize,Owino,1193,kg
2025-07-30,Maize,Owino,1212,kg
2025-07-31,Maize,Owino,1173,kg
2025-08-01,Maize,Owino,1256,kg
2025-08-02,Maize,Owino,1223,kg
2025-08-03,Maize,Owino,1207,kg
2025-08-04,Maize,Owino,1206,kg
2025-08-05,Maize,Owino,1106,kg
2025-08-06,Maize,Owino,1152,kg
2025-08-07,Maize,Owino,1210,kg
2025-08-08,Maize,Owino,1218,kg
2025-08-09,Maize,Owino,1076,kg
2025-08-10,Maize,Owino,1147,kg
2025-08-11,Maize,Owino,1172,kg
2025-08-12,Maize,Owino,1175,kg
2025-08-13,Maize,Owino,1196,kg
2025-08-14,Maize,Owino,1195,kg
2025-08-15,Maize,Owino,1127,kg
2025-08-16,Maize,Owino,1237,kg
2025-08-17,Maize,Owino,1152,kg
2025-08-18,Maize,Owino,1191,kg
2025-08-19,Maize,Owino,1231,kg
2025-08-20,Maize,Owino,1215,kg
2025-08-21,Maize,Owino,1196,kg
2025-08-22,Maize,Owino,1114,kg
2025-08-23,Maize,Owino,1224,kg
2025-08-24,Maize,Owino,1203,kg
2025-08-25,Maize,Owino,1234,kg
2025-08-26,Maize,Owino,1189,kg
2025-08-27,Maize,Owino,1196,kg
2025-08-28,Maize,Owino,1259,kg
2025-08-29,Maize,Owino,1247,kg
2025-08-30,Maize,Owino,1188,kg
2025-08-31,Maize,Owino,1259,kg
2025-09-01,Maize,Owino,1225,kg
2025-09-02,Maize,Owino,1128,kg
2025-09-03,Maize,Owino,1257,kg
2025-09-04,Maize,Owino,1214,kg
2025-09-05,Maize,Owino,1270,kg
2025-09-06,Maize,Owino,1237,kg
2025-09-07,Maize,Owino,1253,kg
2025-09-08,Maize,Owino,1267,kg
2025-09-09,Maize,Owino,1243,kg
2025-09-10,Maize,Owino,1214,kg
2025-09-11,Maize,Owino,1247,kg
2025-09-12,Maize,Owino,1329,kg
2025-09-13,Maize,Owino,1312,kg
2025-09-14,Maize,Owino,1283,kg
2025-09-15,Maize,Owino,1290,kg
2025-09-16,Maize,Owino,1311,kg
2025-09-17,Maize,Owino,1306,kg
2025-09-18,Maize,Owino,1263,kg
2025-09-19,Maize,Owino,1321,kg
2025-09-20,Maize,Owino,1304,kg
2025-09-21,Maize,Owino,1314,kg
2025-09-22,Maize,Owino,1320,kg
2025-09-23,Maize,Owino,1243,kg
2025-09-24,Maize,Owino,1304,kg
2025-09-25,Maize,Owino,1333,kg
2025-09-26,Maize,Owino,1327,kg
2025-09-27,Maize,Owino,1313,kg
2025-09-28,Maize,Owino,1310,kg
2025-09-29,Maize,Owino,1370,kg
2025-09-30,Maize,Owino,1293,kg
2025-10-01,Maize,Owino,1363,kg
2025-10-02,Maize,Owino,1306,kg
2025-10-03,Maize,Owino,1360,kg
2025-10-04,Maize,Owino,1373,kg
2025-10-05,Maize,Owino,1366,kg
2025-10-06,Maize,Owino,1366,kg
2025-10-07,Maize,Owino,1344,kg
2025-10-08,Maize,Owino,1414,kg
2025-10-09,Maize,Owino,1424,kg
2025-10-10,Maize,Owino,1365,kg
2025-10-11,Maize,Owino,1419,kg
2025-10-12,Maize,Owino,1401,kg
2025-10-13,Maize,Owino,1384,kg
2025-10-14,Maize,Owino,1357,kg
2025-10-15,Maize,Owino,1316,kg
2025-10-16,Maize,Owino,1382,kg
2025-10-17,Maize,Owino,1384,kg
2025-10-18,Maize,Owino,1455,kg
2025-10-19,Maize,Owino,1446,kg
2025-10-20,Maize,Owino,1391,kg
2025-10-21,Maize,Owino,1378,kg
2025-10-22,Maize,Owino,1425,kg
2025-10-23,Maize,Owino,1445,kg
2025-10-24,Maize,Owino,1371,kg
2025-10-25,Maize,Owino,1458,kg
2025-10-26,Maize,Owino,1421,kg
2025-10-27,Maize,Owino,1456,kg
2025-10-28,Maize,Owino,1524,kg
2025-10-29,Maize,Owino,1490,kg
2025-10-30,Maize,Owino,1458,kg
2025-10-31,Maize,Owino,1484,kg
2025-11-01,Maize,Owino,1476,kg
2025-11-02,Maize,Owino,1528,kg
2025-11-03,Maize,Owino,1435,kg
2025-11-04,Maize,Owino,1490,kg
2025-11-05,Maize,Owino,1542,kg
2025-11-06,Maize,Owino,1469,kg
2025-11-07,Maize,Owino,1524,kg
2025-11-08,Maize,Owino,1512,kg
2025-11-09,Maize,Owino,1453,kg
2025-11-10,Maize,Owino,1402,kg
2025-11-11,Maize,Owino,1524,kg
2025-11-12,Maize,Owino,1523,kg
2025-11-13,Maize,Owino,1515,kg
2025-11-14,Maize,Owino,1591,kg
2025-11-15,Maize,Owino,1522,kg
2025-11-16,Maize,Owino,1507,kg
2025-11-17,Maize,Owino,1568,kg
2025-11-18,Maize,Owino,1543,kg
2025-11-19,Maize,Owino,1493,kg
2025-11-20,Maize,Owino,1508,kg
2025-11-21,Maize,Owino,1477,kg
2025-11-22,Maize,Owino,1592,kg
